region_id	thickness_mm
ROI-001	2.768
ROI-002	2.661
ROI-003	2.398
ROI-004	3.188
ROI-005	2.578
ROI-006	2.470
ROI-007	2.684
ROI-008	2.357
ROI-009	2.139
ROI-010	2.663
ROI-011	2.634
ROI-012	2.532
ROI-013	2.178
ROI-014	2.505
ROI-015	2.213
ROI-016	2.645
ROI-017	2.234
ROI-018	2.301
ROI-019	2.304
ROI-020	2.439
ROI-021	2.622
ROI-022	2.533
ROI-023	2.498
ROI-024	2.386
ROI-025	2.452
ROI-026	2.502
ROI-027	2.684
ROI-028	2.907
ROI-029	2.931
ROI-030	2.662
ROI-031	2.452
ROI-032	2.447
ROI-033	2.863
ROI-034	2.540
ROI-035	2.540
ROI-036	2.938
ROI-037	2.621
ROI-038	2.382
ROI-039	2.721
ROI-040	2.666
ROI-041	2.337
ROI-042	2.927
ROI-043	2.534
ROI-044	2.454
ROI-045	2.459
ROI-046	2.390
ROI-047	2.744
ROI-048	3.252
ROI-049	2.545
ROI-050	2.701
ROI-051	2.645
ROI-052	2.220
ROI-053	2.326
ROI-054	2.156
ROI-055	2.274
ROI-056	2.882
ROI-057	2.530
ROI-058	2.596
ROI-059	2.902
ROI-060	2.607
ROI-061	2.601
ROI-062	2.500
ROI-063	2.225
ROI-064	2.812
ROI-065	2.794
ROI-066	2.339
ROI-067	2.544
ROI-068	2.929
ROI-069	2.350
ROI-070	2.404
ROI-071	2.365
ROI-072	2.438
ROI-073	2.181
ROI-074	2.542
ROI-075	2.145
ROI-076	2.418
ROI-077	2.686
ROI-078	2.849
ROI-079	2.831
ROI-080	2.251
ROI-081	3.071
ROI-082	2.439
ROI-083	2.518
ROI-084	2.233
ROI-085	2.259
ROI-086	2.900
ROI-087	3.282
ROI-088	2.749
ROI-089	2.653
ROI-090	2.561
ROI-091	3.033
ROI-092	2.584
ROI-093	2.626
ROI-094	2.297
ROI-095	2.528
ROI-096	3.009
ROI-097	2.811
ROI-098	2.708
ROI-099	2.695
ROI-100	2.552
