time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
1,-0.101,-1.433,-0.299,-0.357,-0.626
2,0.292,-0.55,1.066,0.359,-0.355
3,-0.271,-0.908,0.822,0.89,-0.647
4,-0.16,-0.759,0.228,0.787,0.028
5,-1.662,1.12,-0.483,-0.248,-0.19
6,0.381,-1.152,-1.077,0.094,-0.947
7,0.466,0.367,-0.126,0.227,0.236
8,0.498,-0.515,1.675,0.071,0.394
9,0.206,0.007,2.104,-0.799,-0.052
10,-0.269,0.898,0.238,-1.628,-0.808
11,-0.602,0.563,0.627,0.422,-0.026
12,0.016,-0.113,1.143,-2.797,0.691
13,1.317,1.345,0.188,0.929,-0.602
14,0.539,0.516,2.055,1.249,-1.666
15,-0.04,-0.438,0.917,-0.184,-1.185
16,-0.988,-0.891,0.195,-1.484,0.314
17,-1.078,2.08,1.642,0.728,0.406
18,0.832,-0.47,0.619,-0.335,-0.477
19,-0.319,-1.197,0.674,-1.628,-0.865
20,-0.385,-0.189,0.783,1.545,-0.512
21,0.439,0.228,-0.597,-0.554,-1.137
22,-0.773,-0.223,-0.846,-0.15,3.111
23,0.204,-0.006,1.137,-1.38,-0.084
24,0.455,0.916,0.227,0.758,-1.211
25,-2.234,0.715,-1.643,-0.701,-0.588
26,0.402,-0.443,-0.441,1.765,0.08
27,-0.919,0.08,0.625,1.142,-0.262
28,0.198,-1.099,0.003,1.363,-0.258
29,-0.425,0.486,1.896,0.59,-0.374
30,-0.599,-0.54,-0.004,0.386,-1.049
31,0.444,-0.337,-0.15,-2.081,0.323
32,1.456,-0.741,-0.032,1.217,-0.396
33,-0.863,1.031,0.66,0.57,-0.504
34,0.078,0.178,-2.712,0.273,-0.656
35,0.708,0.719,-0.969,1.659,0.451
36,1.671,-1.666,0.446,0.288,-1.512
37,-0.58,-1.076,-0.706,0.191,0.795
38,-0.488,-0.718,1.06,0.887,0.773
39,1.099,-1.238,-0.861,-2.327,-1.516
40,0.709,0.313,0.318,2.02,-0.505
41,0.706,0.492,0.675,0.025,-0.422
42,-0.511,-0.56,-2.324,-0.694,-1.127
43,-1.034,-0.021,-1.749,1.688,0.146
44,1.49,1.472,-0.335,0.836,-1.875
45,0.107,-0.513,-0.059,0.48,-1.144
46,0.656,1.307,-0.678,0.956,0.065
47,1.875,0.799,0.347,0.57,-2.201
48,0.083,0.702,-1.395,-2.233,-0.529
49,-0.978,-2.46,2.874,0.772,-0.783
50,-0.217,-0.614,1.69,0.157,-1.188
51,-1.267,-1.284,-0.137,0.238,0.556
52,1.382,-0.661,-1.088,-1.571,0.609
53,0.916,0.563,0.028,-0.882,0.21
54,-2.051,0.123,1.232,-0.556,-2.739
55,0.093,0.652,0.153,0.06,1.575
56,-0.22,0.997,0.044,-1.933,0.021
57,-0.704,-1.192,-2.194,-0.347,0.004
58,1.503,-0.011,1.395,1.025,1.921
59,-0.812,-0.875,-0.38,2.478,0.929
60,1.157,-2.365,0.08,1.315,0.679
61,-0.684,1.012,0.428,-0.55,-1.182
62,0.74,-0.607,0.09,-0.903,-0.178
63,-0.127,-0.93,-0.937,1.699,0.477
64,0.111,0.809,-1.194,-0.413,-1.106
65,0.816,0.283,-0.376,2.227,1.161
66,-0.586,0.174,0.08,-2.277,-1.505
67,1.274,-0.287,-1.292,1.063,0.518
68,-0.363,-0.108,-1.011,0.483,2.038
69,-0.073,-0.96,-1.279,-0.342,-0.539
70,-0.885,-0.812,-1.285,0.649,0.97
71,2.951,-0.457,-0.479,-0.099,-0.276
72,0.075,-1.041,0.888,-0.792,1.763
73,-1.394,-0.351,-0.001,0.253,0.75
74,-1.01,1.005,-0.064,-0.825,-0.035
75,-0.309,1.926,0.221,-1.824,-2.172
76,-1.129,1.296,-0.136,-0.77,-0.985
77,1.689,0.537,-1.172,-0.267,0.421
78,0.399,1.858,0.541,-0.764,-0.049
79,0.592,1.106,0.014,0.601,0.485
80,-1.527,1.131,0.717,-1.128,0.722
81,-0.232,-0.401,-0.207,-0.204,1.381
82,-0.202,-0.13,0.018,-0.236,-0.718
83,-2.046,0.464,-0.207,0.049,-0.653
84,0.925,-0.768,0.547,0.06,1.326
85,0.242,1.184,-1.032,0.662,1.137
86,0.64,-0.792,0.439,1.176,-0.582
87,-0.666,0.837,1.783,-0.022,0.111
88,-0.315,-0.178,0.995,-0.389,0.858
89,1.172,-2.351,0.103,-0.408,0.853
90,0.259,1.447,-0.263,1.367,-0.197
91,2.463,-0.144,-0.102,1.276,-1.502
92,0.354,-1.59,1.439,-1.219,0.245
93,0.898,0.651,0.003,-0.658,0.322
94,0.073,1.115,-0.253,-0.0,-0.746
95,0.053,2.602,-0.335,-0.496,-1.033
96,0.273,0.04,0.545,1.796,-1.06
97,0.283,-0.07,-0.89,0.936,-0.314
98,0.51,1.844,0.303,-0.593,-1.673
99,-0.533,0.176,1.417,-1.145,-0.135
100,0.649,-0.75,0.355,0.532,-0.251
101,0.515,-1.343,-0.102,0.969,0.295
102,-0.052,0.161,1.707,0.655,1.449
103,0.058,-1.133,-1.405,0.466,0.576
104,-1.029,0.883,-1.248,-0.964,-1.07
105,0.202,-0.155,-1.946,0.336,2.028
106,0.587,0.622,0.339,0.098,-0.238
107,-0.377,-1.153,0.53,-0.002,-0.882
108,-0.238,0.249,-0.049,0.383,0.341
109,-1.678,0.053,1.379,1.273,-0.198
110,-0.457,-0.138,0.702,1.444,0.07
111,0.34,-0.244,1.977,-1.81,0.402
112,0.973,0.189,-0.755,1.058,-0.167
113,-0.869,0.073,1.906,1.902,1.027
114,-1.389,0.333,0.945,1.867,0.11
115,-1.05,0.693,-0.479,0.261,0.463
116,-0.652,-0.726,-1.449,1.512,-1.97
117,-1.52,-0.13,0.019,-1.005,-1.494
118,0.863,-0.407,2.308,1.857,-0.327
119,-0.046,0.28,-0.815,-1.254,0.276
