trial,condition,reaction_time_ms,accuracy,session
1,stim_A,289,0.859,session-1
2,stim_A,374,0.941,session-1
3,stim_C,323,1.0,session-1
4,stim_C,398,0.865,session-1
5,stim_C,250,0.842,session-1
6,stim_B,309,0.893,session-1
7,stim_A,352,0.914,session-1
8,stim_A,347,0.935,session-1
9,stim_B,280,0.9,session-1
10,stim_B,336,0.859,session-1
11,stim_B,417,0.939,session-1
12,stim_C,442,0.855,session-1
13,stim_B,390,0.893,session-1
14,stim_C,312,0.967,session-1
15,stim_C,280,0.92,session-1
16,stim_A,333,0.773,session-1
17,stim_B,217,0.809,session-1
18,stim_B,249,0.91,session-1
19,stim_B,369,0.857,session-1
20,stim_A,257,0.918,session-1
21,stim_A,363,0.905,session-1
22,stim_B,430,0.855,session-1
23,stim_C,369,0.975,session-1
24,stim_C,359,0.826,session-1
25,stim_C,393,0.899,session-1
26,stim_C,343,0.825,session-1
27,stim_A,243,0.981,session-1
28,stim_C,366,0.927,session-1
29,stim_B,308,0.91,session-1
30,stim_C,305,0.939,session-1
31,stim_A,419,0.782,session-1
32,stim_A,360,0.918,session-1
33,stim_C,276,0.96,session-1
34,stim_C,352,0.89,session-1
35,stim_A,341,0.98,session-1
36,stim_B,408,0.897,session-2
37,stim_A,337,0.92,session-2
38,stim_B,381,0.914,session-2
39,stim_B,361,0.817,session-2
40,stim_A,283,0.933,session-2
41,stim_B,311,0.894,session-2
42,stim_C,381,0.904,session-2
43,stim_A,396,0.876,session-2
44,stim_C,285,0.92,session-2
45,stim_A,323,0.976,session-2
46,stim_A,331,0.929,session-2
47,stim_C,270,0.866,session-2
48,stim_A,315,0.907,session-2
49,stim_B,350,0.959,session-2
50,stim_A,396,0.767,session-2
51,stim_C,413,0.938,session-2
52,stim_A,304,0.837,session-2
53,stim_B,318,0.908,session-2
54,stim_B,332,0.85,session-2
55,stim_B,302,0.948,session-2
56,stim_B,323,0.882,session-2
57,stim_B,333,0.845,session-2
58,stim_B,239,0.878,session-2
59,stim_A,376,0.867,session-2
60,stim_B,445,0.904,session-2
61,stim_A,440,0.916,session-2
62,stim_B,354,0.967,session-2
63,stim_A,330,0.889,session-2
64,stim_A,383,0.841,session-2
65,stim_C,409,0.96,session-2
66,stim_C,363,0.893,session-2
67,stim_C,386,0.839,session-2
68,stim_C,305,0.941,session-2
69,stim_A,410,0.933,session-2
70,stim_B,318,0.887,session-2
71,stim_B,319,0.911,session-2
