time,region_1,region_2,region_3,region_4,region_5
0,1.5907,1.5911,1.5921,1.0494,0.7082
1,2.0552,1.2658,1.6061,1.1584,1.7129
2,1.5697,1.7114,2.1369,0.4003,0.5307
3,1.5507,1.103,0.7138,1.1151,0.737
4,0.6027,0.5765,0.5988,0.8618,0.4572
5,0.6777,0.5656,0.9332,0.7039,1.2334
6,0.4944,0.6975,0.3208,1.2142,1.6575
7,1.4551,0.7815,0.5176,0.7204,0.4784
8,0.3253,1.0351,2.1053,0.8137,0.5345
9,0.5313,0.4172,0.126,1.0879,0.6969
10,0.6919,1.3974,2.1321,0.8086,0.7563
11,0.2784,1.5426,0.636,1.554,1.4107
12,1.7103,0.7576,1.1831,1.7658,1.7447
13,2.0225,0.3896,1.1123,0.6484,1.6649
14,1.0136,1.2907,1.5662,0.4807,1.4577
15,0.7362,0.8683,1.47,0.9044,1.1909
16,0.6151,0.461,1.369,0.578,0.6017
17,1.155,0.4889,0.5871,0.9223,0.869
18,0.7756,0.9736,0.8328,1.117,1.1234
19,2.0319,1.3949,0.9395,1.549,2.3408
20,0.3618,0.3932,2.0571,1.3047,0.7251
21,0.8694,0.8326,1.9974,0.6684,0.7228
22,0.5467,0.8709,0.3687,0.9747,0.968
23,0.7027,0.7347,0.7973,1.7961,0.7809
24,0.672,0.7459,1.1567,0.5246,0.6127
25,0.9173,0.8853,1.0896,0.9175,0.5992
26,2.1069,0.5017,0.8063,1.6405,2.1152
27,0.6458,0.7083,0.7874,0.3286,0.6758
28,0.1558,1.0166,1.7828,0.7154,0.461
29,1.3717,1.778,0.3096,0.6919,0.5863
30,1.2205,1.8979,0.7503,1.0717,1.0474
31,1.1893,1.3556,0.8736,1.7416,1.5077
32,0.954,0.8114,0.5464,2.0262,0.9284
33,1.424,0.9372,2.1527,1.9876,0.4687
34,1.0563,1.952,0.8283,1.5106,0.4945
35,0.9972,0.6127,2.0577,1.166,1.8811
36,0.5064,1.6862,1.0278,1.0719,1.2392
37,0.5757,1.9402,0.5654,1.5591,1.5829
38,2.0296,1.7131,0.6649,0.4483,0.9867
39,1.1109,0.3676,0.4746,0.7317,0.5811
40,0.4017,2.0396,1.8796,0.6292,0.9537
41,0.4584,1.1738,0.9942,0.8476,1.2268
42,0.9955,0.8194,0.401,0.3311,2.1357
43,1.6088,0.7366,1.8234,0.8318,0.5148
44,1.717,2.2678,0.8672,1.6512,1.4427
45,0.7229,2.2677,1.5201,0.5808,0.519
46,0.54,0.3764,0.42,0.5152,1.6175
47,1.5443,1.271,0.7393,1.1566,1.5689
48,0.5559,0.7707,0.3336,0.4441,0.5862
49,0.37,1.1517,0.9919,0.5543,0.7868
50,0.9798,0.482,0.6901,0.5809,0.8125
51,1.5297,0.8525,0.6536,0.5567,0.7559
52,1.0639,0.9576,1.6097,1.2316,0.4145
53,0.6059,1.1191,1.7229,0.7624,1.1019
54,0.9718,1.0744,1.0505,0.4237,1.4269
55,1.7993,1.0538,0.7192,2.0248,0.7308
56,1.958,1.5298,1.3431,1.3492,0.7603
57,0.7579,0.6625,1.1508,0.8206,1.0978
58,1.5764,0.7524,0.6454,1.6261,0.859
59,0.6526,0.4772,0.7052,1.0309,0.3501
60,0.4386,0.4743,0.5827,1.1098,0.2527
61,1.0462,1.6186,1.1714,0.8,0.5668
62,0.5916,1.0473,0.5309,1.5756,1.3959
63,0.5064,1.16,0.4883,0.7029,0.3748
64,0.6052,0.5816,0.7287,0.6747,1.0
65,1.933,1.2688,0.6753,0.6981,0.5666
66,1.2209,0.7714,0.4373,1.3695,0.829
67,0.5069,0.542,0.5088,1.7525,0.6106
68,0.6205,1.3925,0.2147,0.9784,1.5973
69,1.1427,0.2535,1.7055,0.4446,1.1681
70,0.3553,0.5095,1.8773,0.6468,0.738
71,0.9839,0.4974,0.8021,1.3655,1.497
72,0.6968,1.0617,0.6213,0.8439,0.6997
73,1.6221,1.1608,1.2558,0.6874,0.3273
74,0.634,0.6954,1.971,1.2999,0.2278
75,1.5157,1.304,1.3052,1.2577,1.5794
76,0.209,0.6866,2.0155,1.7892,0.4051
77,1.318,1.296,0.671,1.0245,0.561
78,1.2751,2.2859,1.3546,1.0019,0.9878
79,0.8099,2.0764,0.6857,1.6502,0.5165
80,0.7297,2.2461,1.6654,0.8986,1.6457
81,0.9802,0.909,0.3945,0.3181,1.2829
82,2.0558,0.4359,1.1752,0.2953,0.3977
83,0.6173,1.7326,1.3743,1.0537,0.6975
84,1.8515,1.0029,0.4592,1.181,1.2581
85,1.0915,1.0036,0.9032,0.7816,0.6461
86,1.404,0.6204,1.4335,0.8651,1.8401
87,0.539,0.3383,1.183,1.3495,0.8151
88,1.6589,2.0058,0.6656,1.7966,1.4456
89,0.4896,0.762,0.9245,1.8234,1.0608
90,1.2986,0.7893,1.7108,2.0598,0.263
91,0.7152,0.7097,0.7088,1.441,0.898
92,0.5833,0.8382,0.6182,1.1164,0.5251
93,0.3835,0.4688,0.4328,1.6582,1.5624
94,0.5631,2.1865,0.6814,0.479,0.7091
95,0.5469,0.8944,0.5635,0.7375,1.7219
96,0.5924,0.4173,1.3706,1.1777,1.1425
97,1.7341,1.1768,0.7815,1.8484,0.5492
98,0.8888,0.3238,1.3672,1.2013,1.3829
99,0.4598,0.9178,0.9988,0.9263,1.7651
