ROI,thickness_mm,surface_area_mm2
ROI_001,2.3258096106790442,2554.241127434217
ROI_002,3.1245957237227238,2615.1420555197005
ROI_003,3.043298003375289,2689.3897162788917
ROI_004,2.38897136848749,2596.939488229939
ROI_005,3.23361044546166,2740.4670708700633
ROI_006,2.600638283487886,2484.4782765850414
ROI_007,3.24740936388503,2122.3176147855547
ROI_008,2.311485783774069,2520.488132383781
ROI_009,2.8960421644483807,2520.9398358057597
ROI_010,2.033230288478475,2329.624436444072
ROI_011,2.828815329499606,2328.2396492921584
ROI_012,3.20111832684287,2329.3720923378346
ROI_013,2.7659703651638825,2272.1058660875487
ROI_014,2.490094393060663,2297.7631763105137
ROI_015,3.1783142629247316,2403.2863548168475
ROI_016,3.194349351547965,2541.9039280746438
ROI_017,2.9898069645994476,2372.340096824515
ROI_018,3.308709221376227,2501.441308694689
ROI_019,2.8024932969230405,2864.4533101084257
ROI_020,2.5927223394563423,2269.8607154888437
ROI_021,2.889822170915098,2397.45312294983
ROI_022,2.913569903714206,2231.070954759906
ROI_023,2.279395598299842,2263.0934914869467
ROI_024,2.664185974709221,2541.813913749009
ROI_025,2.438927688665629,2554.779080872839
ROI_026,2.3143311296447413,2425.3186235257626
ROI_027,2.0838057841243582,2547.9996529977793
ROI_028,2.402097835851881,2357.1625765822323
ROI_029,3.3220725308809556,2613.5133575238096
ROI_030,2.6587900207579347,2388.132335632493
ROI_031,2.0913087235590613,2471.0581572154347
ROI_032,2.3539520303958428,2677.692636825508
ROI_033,3.3889136232424217,2476.1372818753052
ROI_034,3.0886777421190565,2577.236849703277
ROI_035,2.757908503702925,2469.94167897389
ROI_036,3.0038238327697426,2367.4246856352706
ROI_037,2.6264617383554683,2703.842379319757
ROI_038,2.734897635391811,2402.109217416324
ROI_039,3.14217664861336,2134.9610770732725
ROI_040,3.096985313655185,2481.1801764885026
ROI_041,2.713512721671199,2419.0545549079443
ROI_042,2.952405768539622,2378.0436593268596
ROI_043,2.6781231267709136,2706.8814653018944
ROI_044,2.776153567171113,2729.8428461959234
ROI_045,2.7949254950727433,2139.793080364163
ROI_046,3.373876665044956,2731.0905491388135
ROI_047,2.7184915374187604,2610.329602573175
ROI_048,3.1796662392630517,2526.6547824676245
ROI_049,2.981074389274557,2567.0556867611567
ROI_050,2.0472757709997498,2467.8271583071387
ROI_051,2.7678827629887066,2521.435384113375
ROI_052,2.281980450719747,2337.513781866807
ROI_053,2.9782653890536155,2535.5840375581683
ROI_054,3.351437821930304,2549.2084829610485
ROI_055,3.3195292614560494,2248.1057327223807
ROI_056,2.1655125035362555,2337.908620637053
ROI_057,2.9760718254977343,2610.5448235405443
ROI_058,2.6481333248728047,2312.865909804494
ROI_059,2.500303073814284,2074.957338712639
ROI_060,2.9572148336365345,2637.641847480319
