time,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6
0,-0.0398,-0.5088,0.7182,0.8562,0.3811,-0.9542
1,-0.1892,0.1245,1.039,0.904,-0.5851,-0.4887
2,-0.2795,-1.237,-0.5099,1.0288,0.0761,2.2435
3,0.1073,-0.2863,-0.257,0.8755,0.7856,1.894
4,0.8822,0.9077,-0.1147,1.207,0.3771,0.5105
5,-0.376,0.471,0.8323,0.3019,0.0118,1.5469
6,0.8602,-0.2659,0.6165,0.8419,-0.5384,-1.2939
7,2.1293,0.1933,1.1414,-0.2469,-1.4591,0.6907
8,0.6835,1.191,-0.2552,-0.8909,0.1816,-0.2322
9,-0.6,-0.5203,0.5327,1.5778,0.0341,2.3557
10,-0.0271,-0.231,-0.2708,1.9819,2.043,0.71
11,0.6047,-0.519,2.5221,1.3367,-1.1725,-0.606
12,0.556,1.5894,1.5743,-0.5195,0.5997,0.4496
13,0.2634,-0.7874,0.4786,-0.6391,-0.5844,-0.4793
14,0.8677,0.4569,-1.1819,0.4726,0.5839,-0.4704
15,1.1504,1.7498,-0.3183,-0.1722,-0.7349,-0.6908
16,0.3474,1.7511,1.8994,-0.1616,1.7308,1.2916
17,0.3851,-1.223,0.0332,1.0591,0.1877,-0.0359
18,0.1134,-1.0777,2.1411,0.04,-0.3542,-0.1507
19,-0.9483,-0.8638,-0.2008,0.2868,-0.3217,0.2708
20,2.5862,-0.1526,1.633,-0.3632,-0.4153,-0.1405
21,-1.46,2.7036,0.7021,-0.4145,0.1199,1.0938
22,1.8736,1.2704,1.545,-2.2705,-0.4868,-0.3271
23,-0.8449,-1.545,1.0411,1.2908,-2.0287,-1.8465
24,1.9793,-0.2289,-0.1786,-1.2548,-1.2311,0.62
25,-1.0265,2.0231,-0.331,0.4174,0.1356,-0.205
26,-0.775,0.0441,1.94,0.2383,0.2694,-0.1709
27,1.3661,0.6563,-0.449,0.072,-1.3431,-0.2114
28,0.1479,-1.5669,-0.3245,-0.2242,-1.1355,-0.1711
29,1.713,1.2838,-0.3083,0.9111,0.0671,-0.6135
30,-0.323,-0.7297,1.7977,0.6705,-0.025,-0.8354
31,0.9447,1.6009,0.6841,0.5368,-2.18,0.0797
